-15980,-19636,-12232,32767,24223,-8290,0
1920,2380,15480,69,17,-278,1
892,2012,15884,8,192,-10,1
-11112,-8592,2668,-32768,-18930,6541,0
1700,1276,15128,-184,125,-195,1
1628,2360,14156,731,190,-1455,1
14060,-5716,4168,-5295,8945,4403,0
1388,2464,15664,-165,228,108,1
664,2292,15352,96,-60,-58,1
916,1916,16152,27,258,-65,1
2432,-3624,14528,5261,-3896,15522,0
-11476,-9516,5944,-35,170,-260,0
-7356,-11168,7996,-10784,-924,-929,0
140,1528,15836,-206,-140,-578,1
-476,1688,15488,68,43,-323,1
-5028,-12200,8384,-21914,-4659,9944,0
-9504,-9780,7048,-5789,-3029,-3951,0
-9612,-8860,7824,2766,740,267,0
2072,-19012,7700,9984,13952,-11423,0
1364,1748,15664,-88,-92,15,1
-3144,-19344,2404,-32768,-18687,12214,0
432,2100,15796,-120,92,-47,1
8160,-8248,112,10869,27570,-31093,0
-4940,-9072,13876,-15684,7565,-31709,0
2040,2236,15284,-98,-69,-94,1
652,2048,15840,-19,-28,-226,1
1680,1396,14912,-14,132,-104,1
148,1716,15244,-227,-260,315,1
1108,1784,16012,94,205,-77,1
3148,-2304,16004,-153,1196,2788,0
-508,1872,16444,1560,720,-2209,1
10436,-12752,9680,2046,-2916,-3610,0
2188,1360,15712,-99,366,-532,1
-224,1636,15868,-172,125,-281,1
1864,2516,15596,-236,224,-167,1
704,-12808,10684,1210,-1888,-58,0
1108,1192,15612,-88,174,15,1
-1600,-10132,9640,2641,32767,-13151,0
652,2300,15296,-81,145,-159,1
-6044,-15752,3088,-32768,-4970,18594,0
1408,2512,15288,90,168,-311,1
908,2520,15748,-266,-6,27,1
-10844,-10492,1100,32767,25069,-8371,0
-7544,-13496,916,-471,-1557,1830,0
1324,920,15508,-9,38,-199,1
-112,2012,16120,-35,173,-254,1
800,2404,16016,-103,342,-85,1
496,2348,16136,-36,591,-412,1
800,1764,15436,-57,362,-233,1
-7592,-8528,6284,-11390,-11289,9304,0
